fecha,lluvia,temperatura
1/11/2021,28.25,19
2/11/2021,0,25.7
3/11/2021,0,29
4/11/2021,0,33.3
5/11/2021,2,18.4
6/11/2021,0,24.1
7/11/2021,0.25,28.1
8/11/2021,0,31.6
9/11/2021,0.5,31.1
10/11/2021,0,29.5
11/11/2021,0,29.5
12/11/2021,0,29.9
13/11/2021,41.5,34.6
14/11/2021,0,28
15/11/2021,0,30.8
16/11/2021,0,21.4
17/11/2021,0,23.9
18/11/2021,0,29.5
19/11/2021,0,33.8
20/11/2021,0,34.9
21/11/2021,0,35.8
22/11/2021,0,37.5
23/11/2021,0,30
24/11/2021,0,34.8
25/11/2021,48,27.9
26/11/2021,0,33.1
27/11/2021,0,31.3
28/11/2021,2.75,23.6
29/11/2021,0,30.2
30/11/2021,0,32
1/11/2022,0,27.1
2/11/2022,0,29.7
3/11/2022,0,30.3
4/11/2022,0,30.7
5/11/2022,0,28.9
6/11/2022,0,30.2
7/11/2022,0,30.8
8/11/2022,0,30.2
9/11/2022,0,30.9
10/11/2022,2.5,27
11/11/2022,0,34.1
12/11/2022,3.25,24.3
13/11/2022,34.75,22.4
14/11/2022,0,28.8
15/11/2022,0,36
16/11/2022,0,37.9
17/11/2022,0,37.3
18/11/2022,0,36.5
19/11/2022,6.75,28
20/11/2022,0.5,26.7
21/11/2022,4,26
22/11/2022,0,27.8
23/11/2022,0,35.4
24/11/2022,0,39.5
25/11/2022,0,38.3
26/11/2022,0,39.2
27/11/2022,0,37.4
28/11/2022,0,37.3
29/11/2022,0,37.4
30/11/2022,0,29
1/11/2023,9.25,13.9
2/11/2023,33,14.6
3/11/2023,0,20.1
4/11/2023,0,25.7
5/11/2023,0,25.5
6/11/2023,0,28.7
7/11/2023,0,35.6
8/11/2023,0,28.7
9/11/2023,0,27.9
10/11/2023,2.5,20.3
11/11/2023,5,28.4
12/11/2023,0,26
13/11/2023,0,25.4
14/11/2023,0,27.2
15/11/2023,4.75,31.2
16/11/2023,0,29.8
17/11/2023,4.75,29.9
18/11/2023,4.5,24.5
19/11/2023,0,31.9
20/11/2023,0,33.5
21/11/2023,0.75,31.6
22/11/2023,0,29.1
23/11/2023,0,32.6
24/11/2023,0.25,31.3
25/11/2023,0.25,30.8
26/11/2023,0,32.8
27/11/2023,0,34.7
28/11/2023,0,34
29/11/2023,0,29.1
30/11/2023,0,32.3
1/12/2021,0,28.5
2/12/2021,0,30.7
3/12/2021,0,29.8
4/12/2021,0,27
5/12/2021,0,29
6/12/2021,0,31
7/12/2021,0,32.3
8/12/2021,0,32.9
9/12/2021,0.25,32.5
10/12/2021,2.25,28.3
11/12/2021,0,33.8
12/12/2021,4.25,30
13/12/2021,0,32.6
14/12/2021,20.5,33.1
15/12/2021,0,29.6
16/12/2021,0,31.1
17/12/2021,0,31.8
18/12/2021,0,33.2
19/12/2021,0,36.9
20/12/2021,0,36.1
21/12/2021,2.75,34.8
22/12/2021,0,34.8
23/12/2021,0,36.5
24/12/2021,0,37.8
25/12/2021,0,36.6
26/12/2021,0,36.8
27/12/2021,0,39.6
28/12/2021,0,39.9
29/12/2021,0,40.4
30/12/2021,0,36.3
31/12/2021,0,39.7
1/12/2022,0,29.6
2/12/2022,0,33.3
3/12/2022,0,36.1
4/12/2022,0,39.3
5/12/2022,0,39.3
6/12/2022,0,40.9
7/12/2022,0,40.9
8/12/2022,1.75,38.6
9/12/2022,7.5,40.4
10/12/2022,3.75,33.2
11/12/2022,0,39.3
12/12/2022,1.25,33.3
13/12/2022,0,31.9
14/12/2022,0,37.4
15/12/2022,2,34.4
16/12/2022,0,31.8
17/12/2022,0,29.5
18/12/2022,0,32.6
19/12/2022,0,35
20/12/2022,0,36.3
21/12/2022,0,35.3
22/12/2022,0,36.7
23/12/2022,7,25.1
24/12/2022,0,28.9
25/12/2022,0,29.4
26/12/2022,0,32.6
27/12/2022,0,35.3
28/12/2022,0,35.6
29/12/2022,0,36.8
30/12/2022,0,40.6
31/12/2022,0,40.7
1/12/2023,11.75,34.7
2/12/2023,0,30.7
3/12/2023,0,22
4/12/2023,0,22.8
5/12/2023,1,20.7
6/12/2023,1.5,25.9
7/12/2023,0,28
8/12/2023,0,29
9/12/2023,0.25,26.4
10/12/2023,0,31
11/12/2023,0,32.1
12/12/2023,0,36.6
13/12/2023,53,28.7
14/12/2023,0,29.2
15/12/2023,2.25,29.9
16/12/2023,0,31.5
17/12/2023,16.5,28.2
18/12/2023,25.5,21.5
19/12/2023,0,23.8
20/12/2023,0,26.1
21/12/2023,0,29.4
22/12/2023,0,30.2
23/12/2023,0,33.4
